TestID,SystemOutput
0,Congestion and coughing.
1,"The patient is a 2-1/2-year-old boy and 5-1/2-year-old stepson who are sick at home with cold, diarrhea and vomiting. They went to the emergency room where they were given an albuterol inhaler. The mother was sick with the flu shortly after delivery. They also visited dad's family around Christmas time."
2,"The patient is a 51-year-old white male who was diagnosed with PTLD towards the end of 2007. He had swollen lymph nodes, stomach pain, loss of weight, and not really eating. He did not go to the doctor right away but eventually went to the hospital where they did a biopsy of his groin lymph nodes and they found large scale lymphoma. They did a biopsy of his groin lymph nodes and they found large scale lymphoma. He underwent chemo with daunorubicin, vincristine, and prednisone. He has completed five cycles of chemotherapy so far. He has completed five cycles of chemotherapy. He has completed five cycles of chemotherapy. He also had an infection related to the skin cancer, and he had surgery for the skin cancer. He denies any cold or flu like symptoms today. His ECG score is one."
3,No known allergies.
4,Macrodantin 100 mg for urinary tract infection (UTI) caused by Enterococcus.
5,None.
6,"No history of snoring, sleep disorder, asthma, or lung disease."
7,He had a testicle removed in the summer of 1985 for enlargement. He is not sure what the cause was.
8,"The patient states that she has osteoporosis, hyperglycemia, and anxiety."
9,"Significant for thrombolysis and warfarin use in the past six months. Recurrent thrombosis since 1999, which has required placement of an IVC filter. No history of miscarriage."
10,"The patient has a history of Huntington disease, as well as hypertension. She is on medication for her hypertension. She has memory problems and confusion. She has made an appointment with Dr. Smith, who is a psychiatrist at the facility."
11,"Denies tobacco, alcohol, and illicit drug use."
12,"She lives at Life Care Center. She does not smoke, drink or use drugs."
13,None.
14,"He is married. He used to smoke 1 pack a day, but quit 5 years ago. Social drinker. Denies drug abuse."
15,"Miscarriage, age 20 weeks."
16,"The patient is a 83-year-old female who presents to the office complaining of bilateral hand weakness. She previously had difficulty swallowing and speech difficulties, but now has increased bilateral arm weakness in both arms."
17,Noncontributory.
18,"Pneumonia, urinary tract infection which caused urosepsis, amputation of her left toes due to gangrene, dementia, and history of hypothyroidism and osteoporosis."
19,Aspiration pneumonia secondary to hydrocarbon in both lungs causing infection.
20,Stomatitis.
21,IVC filter placed for a blood clot and tubal ligation.
22,"The patient has had a history of lymphedema in her legs for the last three years. She also suffers from arthritis, which is worse in her knees. She has been hospitalized in the past for recurring cellulitis in her legs. She was diagnosed with a spastic colon."
23,Lymph node swollen for 2 days.
24,Significant for a heart attack and irregular or fast heartbeat. He has had one stent placed in his heart. His primary doctor is Dr. Y.
25,"She lives on her own. Her husband died in 2005. She has three grown daughters who want to move into an assisted living facility. She is working full time for Social Security Administration in data processing. She has a high school education. She has had no attention deficits or hyperactivity. In middle school, she received some tutoring for algebra but was never held back a grade failing any classes. She continues to perform daily living activities such as getting dressed, cooking and cleaning independently. At the end of October, she is going on a cruise to the Bahamas with a group of ladies from her church."
26,"He used to drink a lot, but quit about 10 years ago. He also used to smoke one pack of cigarettes per day for many years."
27,Stable.
28,Cough and joint pain.
29,She is single. Lives with her sister. Denies any drug use.
30,No known allergies.
31,"Nexium 40 mg daily for esophageal reflux, Cozaar 100 mg daily and Norvasc 10 mg daily for hypertension, Allegra 1 80 daily for allergic rhinitis, and Flovent and Serevent as needed for recurring bronchitis. He is on Xalatan drops for glaucoma, Ativan 1 mg, Advair 10 mg, and Paxil 25 mg nightly for anxiety, depression, and sleep disturbances."
32,Potential for infection in blood due to accidental exposure.
33,Appendectomy at 9 years old.
34,Laparoscopic surgery to remove cholelithiasis.
35,He is married. He lives at home. He has no travel history. No known illnesses.
36,"The patient was admitted to the hospital due to worsening of congestive heart failure. He was discharged but his medications were increased and he did not refill his medications. Now he is feeling shortness of breath and difficulty breathing, which is persistent. At first it was only when he was climbing stairs but now even while he is resting, he has difficulty breathing. He denies nausea vomiting. His diet is normal. He gained a few pounds but not so much. He denies palpitations. He also has a history of difficulty breathing when laying down."
37,"She lives with grandparents, mother, and sister."
38,He was walking along the beach when he slipped and cut his foot on barnacles.
39,"Significant for coronary artery disease, heart failure, mitral valve prolapse, and a very fast heart beat that is not normal. He has had migraine headaches all his life. He has had a stent placed in and a pacemaker placed 15 years ago."
40,None.
41,Followup on cerebrovascular accident.
42,He is married to ABC.
43,"She is from Mazatlan, Mexico."
44,"The patient has had an acoustic neuroma in 2005, which was benign but they wanted to remove it. In February 2004 and August 2009 she had treatments for recurrence. She has skull markers in place. She has had mastoidectomy in the past. She takes Tylenol and Aleve occasionally for pain."
45,Noncontributory.
